valid_precision,valid_recall,valid_f1_score,valid_avg_loss,epoch,step,train_loss,train_precision,train_recall,train_f1_score,lr,train_avg_loss
0.01998632773756981,0.9936273097991943,0.03918447718024254,0.9647148251533508,0,62,,,,,,
,,,,1,62,0.9373894333839417,0.036745235323905945,0.9150798320770264,0.07065336406230927,9.999994654208422e-05,0.9375690817832947
0.028317993506789207,0.8980148434638977,0.054904624819755554,0.954821765422821,1,125,,,,,,
,,,,2,125,0.8852380514144897,0.1497054547071457,0.9460310935974121,0.2585037648677826,9.999994654208422e-05,0.885247528553009
0.452606737613678,0.8307050466537476,0.5859569311141968,0.8142985105514526,2,188,,,,,,
,,,,3,188,0.8255777955055237,0.3693785071372986,0.9205878376960754,0.527215838432312,9.999994654208422e-05,0.825843334197998
0.620667040348053,0.8312115669250488,0.7106732130050659,0.7602047324180603,3,251,,,,,,
,,,,4,251,0.7719221711158752,0.4605465233325958,0.9039728045463562,0.6102098226547241,9.999994654208422e-05,0.772643506526947
0.6128190159797668,0.8446832299232483,0.7103082537651062,0.7012851238250732,4,314,,,,,,
,,,,5,314,0.7142348289489746,0.5680795907974243,0.8922199606895447,0.6941753029823303,9.999994654208422e-05,0.7142714262008667
0.6692541241645813,0.7173823714256287,0.6924830079078674,0.6522802710533142,5,377,,,,,,
,,,,6,377,0.6382943987846375,0.6501028537750244,0.8963733315467834,0.7536292672157288,9.999994654208422e-05,0.6377087235450745
0.7142738699913025,0.8007560968399048,0.7550466656684875,0.5600301623344421,6,440,,,,,,
,,,,7,440,0.5759084224700928,0.6752151250839233,0.8774363398551941,0.7631568312644958,9.999994654208422e-05,0.5765063166618347
0.7525426149368286,0.775786817073822,0.7639879584312439,0.5048536062240601,7,503,,,,,,
,,,,8,503,0.49136126041412354,0.7409594058990479,0.871002197265625,0.8007352948188782,9.999994654208422e-05,0.4904451370239258
0.7447871565818787,0.9027822017669678,0.8162091374397278,0.40738576650619507,8,566,,,,,,
,,,,9,566,0.42267656326293945,0.7750114798545837,0.8600591421127319,0.8153234720230103,9.999994654208422e-05,0.42370960116386414
